0,1,2,3,4
30.0,103.0,9.0,9.0,55.0
41.0,43.0,8.0,13.0,96.0
119.0,44.0,10.0,11.0,39.0
104.0,50.0,9.0,9.0,41.0
56.0,104.0,10.0,11.0,38.0
97.0,37.0,9.0,9.0,41.0
48.0,82.0,10.0,10.0,49.0
55.0,64.0,9.0,8.0,45.0
61.0,125.0,11.0,11.0,73.0
102.0,58.0,9.0,10.0,73.0
51.0,59.0,8.0,12.0,72.0
92.0,93.0,10.0,9.0,80.0
36.0,96.0,10.0,9.0,42.0
71.0,33.0,12.0,10.0,37.0
47.0,78.0,11.0,10.0,68.0
70.0,110.0,10.0,11.0,74.0
49.0,49.0,16.0,8.0,35.0
132.0,94.0,10.0,10.0,31.0
41.0,45.0,12.0,9.0,68.0
95.0,63.0,11.0,10.0,56.0
72.0,84.0,9.0,8.0,82.0
95.0,62.0,10.0,10.0,71.0
99.0,66.0,10.0,9.0,44.0
46.0,56.0,10.0,10.0,81.0
61.0,51.0,10.0,10.0,38.0
22.0,49.0,8.0,9.0,63.0
52.0,106.0,9.0,9.0,49.0
110.0,159.0,8.0,10.0,64.0
44.0,80.0,9.0,10.0,46.0
45.0,62.0,9.0,10.0,63.0
82.0,92.0,12.0,9.0,47.0
65.0,51.0,10.0,9.0,28.0
80.0,86.0,10.0,10.0,31.0
50.0,122.0,10.0,9.0,61.0
38.0,63.0,9.0,10.0,38.0
79.0,53.0,9.0,9.0,48.0
83.0,63.0,10.0,9.0,76.0
76.0,54.0,9.0,10.0,105.0
26.0,80.0,9.0,9.0,39.0
70.0,36.0,10.0,9.0,34.0
75.0,46.0,10.0,9.0,33.0
61.0,102.0,11.0,9.0,33.0
34.0,87.0,9.0,9.0,60.0
76.0,33.0,10.0,10.0,61.0
45.0,83.0,10.0,8.0,49.0
93.0,125.0,9.0,11.0,31.0
53.0,73.0,11.0,9.0,68.0
80.0,66.0,9.0,10.0,57.0
66.0,49.0,9.0,9.0,79.0
47.0,76.0,8.0,8.0,50.0
42.0,70.0,10.0,11.0,50.0
40.0,38.0,10.0,10.0,40.0
44.0,63.0,9.0,10.0,37.0
34.0,87.0,10.0,9.0,32.0
60.0,29.0,9.0,9.0,53.0
68.0,84.0,8.0,9.0,57.0
38.0,55.0,10.0,12.0,78.0
59.0,97.0,10.0,9.0,62.0
62.0,38.0,10.0,10.0,48.0
71.0,66.0,10.0,8.0,78.0
79.0,111.0,10.0,8.0,107.0
30.0,54.0,10.0,10.0,45.0
34.0,66.0,13.0,10.0,41.0
30.0,103.0,9.0,10.0,41.0
111.0,140.0,10.0,11.0,50.0
74.0,88.0,9.0,9.0,76.0
132.0,60.0,9.0,10.0,187.0
68.0,70.0,10.0,10.0,59.0
49.0,63.0,9.0,9.0,49.0
59.0,89.0,9.0,12.0,73.0
34.0,45.0,8.0,8.0,65.0
46.0,45.0,9.0,10.0,36.0
49.0,104.0,9.0,9.0,36.0
71.0,82.0,9.0,10.0,31.0
34.0,232.0,10.0,10.0,56.0
44.0,59.0,11.0,9.0,62.0
80.0,44.0,10.0,9.0,87.0
81.0,100.0,9.0,9.0,69.0
54.0,68.0,9.0,9.0,40.0
35.0,70.0,10.0,11.0,75.0
65.0,81.0,9.0,9.0,55.0
25.0,81.0,9.0,9.0,57.0
84.0,66.0,9.0,9.0,73.0
58.0,78.0,10.0,10.0,82.0
40.0,94.0,11.0,10.0,57.0
69.0,81.0,9.0,9.0,35.0
62.0,58.0,9.0,10.0,34.0
53.0,95.0,9.0,9.0,40.0
39.0,87.0,10.0,9.0,70.0
38.0,89.0,8.0,9.0,102.0
38.0,81.0,8.0,9.0,79.0
57.0,54.0,12.0,9.0,98.0
76.0,32.0,10.0,9.0,39.0
87.0,29.0,10.0,11.0,43.0
74.0,54.0,9.0,8.0,87.0
49.0,77.0,8.0,9.0,52.0
40.0,57.0,10.0,10.0,55.0
33.0,73.0,10.0,9.0,23.0
30.0,65.0,10.0,10.0,63.0
56.0,57.0,10.0,8.0,80.0
38.0,63.0,8.0,10.0,95.0
77.0,44.0,8.0,10.0,73.0
101.0,68.0,9.0,10.0,47.0
66.0,32.0,10.0,10.0,45.0
98.0,68.0,10.0,12.0,64.0
75.0,39.0,8.0,10.0,41.0
121.0,111.0,10.0,9.0,47.0
49.0,78.0,9.0,9.0,37.0
52.0,51.0,10.0,9.0,50.0
58.0,58.0,10.0,10.0,43.0
47.0,117.0,9.0,9.0,32.0
67.0,120.0,9.0,10.0,90.0
66.0,85.0,9.0,9.0,62.0
59.0,38.0,10.0,10.0,72.0
109.0,119.0,8.0,9.0,49.0
47.0,56.0,9.0,8.0,43.0
80.0,46.0,10.0,9.0,58.0
75.0,38.0,10.0,10.0,66.0
103.0,89.0,10.0,8.0,53.0
106.0,94.0,11.0,10.0,126.0
41.0,110.0,10.0,10.0,77.0
86.0,50.0,11.0,9.0,62.0
54.0,52.0,9.0,10.0,67.0
90.0,59.0,10.0,9.0,49.0
67.0,52.0,9.0,10.0,49.0
45.0,54.0,9.0,9.0,46.0
37.0,45.0,15.0,9.0,35.0
69.0,74.0,10.0,8.0,92.0
33.0,80.0,9.0,10.0,44.0
63.0,108.0,9.0,10.0,63.0
59.0,52.0,10.0,9.0,57.0
47.0,75.0,11.0,8.0,34.0
56.0,62.0,9.0,10.0,46.0
63.0,88.0,9.0,9.0,35.0
54.0,36.0,10.0,9.0,66.0
56.0,75.0,10.0,10.0,39.0
65.0,49.0,9.0,9.0,99.0
67.0,38.0,10.0,14.0,65.0
77.0,62.0,10.0,9.0,61.0
46.0,108.0,10.0,8.0,50.0
103.0,90.0,8.0,10.0,27.0
47.0,125.0,12.0,11.0,51.0
47.0,69.0,9.0,10.0,48.0
70.0,99.0,8.0,10.0,46.0
46.0,143.0,8.0,12.0,74.0
118.0,44.0,8.0,10.0,32.0
67.0,63.0,9.0,10.0,32.0
79.0,130.0,10.0,10.0,48.0
65.0,47.0,10.0,9.0,96.0
87.0,96.0,9.0,10.0,44.0
93.0,177.0,9.0,8.0,47.0
110.0,110.0,9.0,10.0,76.0
113.0,106.0,8.0,8.0,40.0
34.0,150.0,10.0,9.0,69.0
114.0,44.0,10.0,9.0,51.0
33.0,103.0,10.0,9.0,36.0
115.0,129.0,10.0,9.0,49.0
51.0,132.0,10.0,10.0,51.0
75.0,126.0,12.0,10.0,35.0
53.0,64.0,9.0,10.0,54.0
41.0,53.0,17.0,8.0,90.0
54.0,89.0,9.0,10.0,57.0
70.0,52.0,10.0,9.0,106.0
80.0,60.0,8.0,11.0,135.0
66.0,44.0,9.0,10.0,90.0
71.0,99.0,10.0,10.0,37.0
88.0,69.0,9.0,9.0,69.0
37.0,177.0,10.0,9.0,69.0
49.0,63.0,10.0,9.0,35.0
125.0,57.0,10.0,8.0,57.0
83.0,72.0,10.0,10.0,81.0
125.0,53.0,9.0,8.0,33.0
96.0,33.0,8.0,9.0,99.0
84.0,110.0,8.0,10.0,74.0
45.0,74.0,9.0,10.0,41.0
68.0,139.0,9.0,9.0,84.0
74.0,47.0,10.0,12.0,29.0
63.0,85.0,10.0,10.0,35.0
59.0,97.0,10.0,8.0,96.0
80.0,40.0,8.0,11.0,40.0
58.0,147.0,9.0,10.0,42.0
56.0,107.0,11.0,9.0,40.0
89.0,49.0,9.0,9.0,48.0
83.0,41.0,9.0,9.0,129.0
81.0,50.0,10.0,8.0,52.0
90.0,54.0,9.0,10.0,62.0
47.0,160.0,9.0,9.0,54.0
69.0,81.0,9.0,9.0,95.0
50.0,36.0,10.0,9.0,41.0
89.0,77.0,10.0,9.0,46.0
83.0,65.0,12.0,9.0,64.0
53.0,68.0,11.0,9.0,82.0
121.0,51.0,9.0,9.0,74.0
83.0,47.0,10.0,9.0,42.0
54.0,154.0,10.0,10.0,44.0
119.0,132.0,9.0,10.0,67.0
72.0,68.0,9.0,9.0,55.0
128.0,66.0,10.0,10.0,65.0
127.0,72.0,9.0,10.0,55.0
